x,y
0.000000000000000000e+00,6.182430983510370126e+00
1.010101010101010083e-01,2.014897559572525143e+00
2.020202020202020166e-01,2.498971843852226371e+00
3.030303030303030387e-01,3.430395701564108002e+00
4.040404040404040331e-01,4.308264501461978924e+00
5.050505050505050830e-01,8.048184765583927813e+00
6.060606060606060774e-01,7.328848891041805480e+00
7.070707070707070718e-01,9.664175862989070609e+00
8.080808080808080662e-01,9.517951974706035045e+00
9.090909090909090606e-01,1.070437515540953299e+01
1.010101010101010166e+00,1.098999629255603239e+01
1.111111111111111160e+00,9.614912753524592404e+00
1.212121212121212155e+00,1.016810567129963694e+01
1.313131313131313149e+00,8.782484923094349583e+00
1.414141414141414144e+00,8.285988392226075305e+00
1.515151515151515138e+00,7.503750658221145287e+00
1.616161616161616132e+00,8.196597743825870808e+00
1.717171717171717127e+00,9.950459025545880465e+00
1.818181818181818121e+00,1.144796563776912812e+01
1.919191919191919116e+00,7.800313710505999865e+00
2.020202020202020332e+00,1.178237284097944482e+01
2.121212121212121104e+00,1.353121549935354651e+01
2.222222222222222321e+00,1.078803034326911714e+01
2.323232323232323093e+00,1.060240071677036866e+01
2.424242424242424310e+00,1.479736843256973167e+01
2.525252525252525082e+00,1.267051548157635743e+01
2.626262626262626299e+00,1.055039434644075413e+01
2.727272727272727071e+00,1.348411646913043604e+01
2.828282828282828287e+00,1.273625988481351712e+01
2.929292929292929060e+00,1.468585298639943737e+01
3.030303030303030276e+00,1.548536674184485484e+01
3.131313131313131048e+00,1.742447237639589019e+01
3.232323232323232265e+00,1.242512633162616353e+01
3.333333333333333481e+00,1.740680169388318888e+01
3.434343434343434254e+00,1.487396941025939867e+01
3.535353535353535470e+00,1.430299167157960838e+01
3.636363636363636243e+00,1.346932646876963702e+01
3.737373737373737459e+00,1.697467401072436743e+01
3.838383838383838231e+00,1.634580462251290101e+01
3.939393939393939448e+00,1.395931384161480082e+01
4.040404040404040664e+00,1.773467402108844126e+01
4.141414141414140992e+00,1.923541239300585559e+01
4.242424242424242209e+00,1.773233208640544234e+01
4.343434343434343425e+00,2.226923916927059821e+01
4.444444444444444642e+00,1.664145249355132350e+01
4.545454545454544970e+00,1.929819032960251590e+01
4.646464646464646187e+00,2.127471473524926182e+01
4.747474747474747403e+00,2.158082913015530480e+01
4.848484848484848619e+00,2.132486606461732492e+01
4.949494949494949836e+00,1.790504806536964821e+01
5.050505050505050164e+00,2.048784871565601406e+01
5.151515151515151381e+00,1.973261413111535845e+01
5.252525252525252597e+00,2.205811864403649736e+01
5.353535353535353813e+00,2.265410958258295082e+01
5.454545454545454142e+00,1.927769079941915464e+01
5.555555555555555358e+00,2.212414756922924042e+01
5.656565656565656575e+00,2.463442976012703767e+01
5.757575757575757791e+00,2.562455438348005998e+01
5.858585858585858119e+00,2.315430798988231942e+01
5.959595959595959336e+00,2.396147061565688574e+01
6.060606060606060552e+00,2.157961184365883867e+01
6.161616161616161769e+00,2.625825643505394069e+01
6.262626262626262097e+00,2.506694040446782523e+01
6.363636363636363313e+00,2.407158864787374952e+01
6.464646464646464530e+00,2.318097768712454254e+01
6.565656565656565746e+00,2.274683630885496299e+01
6.666666666666666963e+00,2.461191622049884487e+01
6.767676767676767291e+00,2.598684743302275990e+01
6.868686868686868507e+00,2.534099888840322379e+01
6.969696969696969724e+00,2.618727126917275783e+01
7.070707070707070940e+00,2.521808295479740281e+01
7.171717171717171269e+00,2.764140457677615359e+01
7.272727272727272485e+00,2.749009915791500092e+01
7.373737373737373701e+00,2.853983711760487552e+01
7.474747474747474918e+00,2.560568082899397169e+01
7.575757575757575246e+00,2.843529934886008803e+01
7.676767676767676463e+00,2.842640415703337453e+01
7.777777777777777679e+00,3.172079279451688549e+01
7.878787878787878896e+00,3.001361819049301261e+01
7.979797979797979224e+00,2.903009585185867181e+01
8.080808080808081328e+00,2.531314746143896599e+01
8.181818181818181657e+00,2.797927161774898508e+01
8.282828282828281985e+00,3.060334122822217395e+01
8.383838383838384090e+00,3.108311946911359058e+01
8.484848484848484418e+00,3.012507462308659001e+01
8.585858585858586522e+00,3.286196338676093376e+01
8.686868686868686851e+00,3.248276025973053294e+01
8.787878787878787179e+00,3.162048551905951754e+01
8.888888888888889284e+00,2.954234413519816016e+01
8.989898989898989612e+00,3.004760924742117467e+01
9.090909090909089940e+00,3.142011155082409246e+01
9.191919191919192045e+00,3.203600921078080432e+01
9.292929292929292373e+00,3.208163819739097278e+01
9.393939393939394478e+00,3.151111850041890605e+01
9.494949494949494806e+00,3.357483947158061000e+01
9.595959595959595134e+00,3.221008075227017997e+01
9.696969696969697239e+00,3.262973705258927026e+01
9.797979797979797567e+00,3.391348094463104701e+01
9.898989898989899672e+00,3.313052756518997910e+01
1.000000000000000000e+01,3.417768661622471171e+01
