x,y
-1.000000000000000000e+01,1.773732248410872216e+02
-9.797979797979797567e+00,1.812148797351763392e+02
-9.595959595959595134e+00,1.608077403804816470e+02
-9.393939393939394478e+00,1.618719152627031690e+02
-9.191919191919192045e+00,1.486418159237705652e+02
-8.989898989898989612e+00,1.404227009673998339e+02
-8.787878787878787179e+00,1.155572412922706178e+02
-8.585858585858586522e+00,1.178744916319225666e+02
-8.383838383838384090e+00,1.233830140679640976e+02
-8.181818181818181657e+00,1.054220249629656081e+02
-7.979797979797979224e+00,9.709320654591408584e+01
-7.777777777777777679e+00,1.009082226212097169e+02
-7.575757575757576134e+00,7.463558108531557878e+01
-7.373737373737373701e+00,7.913282587054264638e+01
-7.171717171717171269e+00,1.097343082583608691e+02
-6.969696969696969724e+00,8.555214325811076037e+01
-6.767676767676768179e+00,7.959189242089323102e+01
-6.565656565656565746e+00,5.925544321585064722e+01
-6.363636363636363313e+00,6.950712263306930083e+01
-6.161616161616161769e+00,7.165389438545696521e+01
-5.959595959595959336e+00,5.304578270690272745e+01
-5.757575757575757791e+00,2.855553187305677199e+01
-5.555555555555555358e+00,5.598786979433211997e+01
-5.353535353535353813e+00,5.701685321037469834e+01
-5.151515151515151381e+00,4.867205424284986748e+01
-4.949494949494949836e+00,2.534799037171804770e+01
-4.747474747474747403e+00,2.862462646298584090e+01
-4.545454545454545858e+00,3.434529243074022986e+01
-4.343434343434343425e+00,1.645748823274723804e+01
-4.141414141414141881e+00,2.548860335275254485e+01
-3.939393939393939448e+00,7.811150393616227205e+00
-3.737373737373737903e+00,2.550476960716679642e+01
-3.535353535353535470e+00,3.438049926858320759e+01
-3.333333333333333037e+00,2.714132066190953907e+01
-3.131313131313131493e+00,1.429071287978648819e+01
-2.929292929292929060e+00,1.709074894254803567e+01
-2.727272727272727515e+00,-3.426529162628963121e+00
-2.525252525252525082e+00,2.665796897633480000e+01
-2.323232323232323537e+00,2.172207660380579242e+01
-2.121212121212121104e+00,6.204525726002739106e+00
-1.919191919191918672e+00,-1.893366298020914940e+01
-1.717171717171718015e+00,-9.218196130402818156e-01
-1.515151515151515582e+00,3.623724725235266675e+00
-1.313131313131313149e+00,-9.917127927329639547e+00
-1.111111111111110716e+00,-8.392900197939734852e+00
-9.090909090909100598e-01,-2.653904251559906058e+00
-7.070707070707076269e-01,-1.339599341620276363e+01
-5.050505050505051940e-01,-3.546703875571215026e+00
-3.030303030303027612e-01,2.934086583555649330e+00
-1.010101010101003283e-01,1.968835036901721480e+01
1.010101010101003283e-01,6.123854596000645856e+00
3.030303030303027612e-01,9.402626163264564241e+00
5.050505050505051940e-01,1.374088377050750154e+01
7.070707070707076269e-01,2.497860364755805307e+00
9.090909090909082835e-01,1.981231579585263525e+00
1.111111111111110716e+00,1.918071367089175538e+01
1.313131313131313149e+00,2.616054909210220458e+01
1.515151515151515582e+00,2.966704818571153979e+00
1.717171717171716239e+00,1.675951107880776547e+01
1.919191919191918672e+00,1.263606173575805158e+01
2.121212121212121104e+00,1.760323889207321457e+01
2.323232323232323537e+00,2.753027401206582425e+01
2.525252525252524194e+00,2.409290914175271681e+01
2.727272727272726627e+00,4.731113470118887676e+01
2.929292929292929060e+00,4.711412431885595709e+01
3.131313131313131493e+00,1.774135801538780299e+01
3.333333333333333925e+00,3.961535665276885965e+01
3.535353535353534582e+00,4.949267012080959915e+01
3.737373737373737015e+00,4.987962732010638689e+01
3.939393939393939448e+00,5.283763731438010325e+01
4.141414141414141881e+00,5.850813271484975076e+01
4.343434343434342537e+00,6.354206387500384778e+01
4.545454545454544970e+00,5.614978881072551076e+01
4.747474747474747403e+00,5.364279036085439145e+01
4.949494949494949836e+00,6.012511866985683184e+01
5.151515151515150492e+00,8.849359935905501118e+01
5.353535353535352925e+00,8.155758189022074589e+01
5.555555555555555358e+00,7.175197056169005805e+01
5.757575757575757791e+00,8.588738139474052957e+01
5.959595959595958448e+00,1.198394329894701684e+02
6.161616161616162657e+00,9.509702451717690508e+01
6.363636363636363313e+00,1.141611010059726823e+02
6.565656565656563970e+00,9.706079088608612437e+01
6.767676767676768179e+00,1.174874177544899680e+02
6.969696969696968836e+00,1.186133955769828532e+02
7.171717171717173045e+00,1.335708841848900192e+02
7.373737373737373701e+00,1.389901412696283955e+02
7.575757575757574358e+00,1.434201594240954591e+02
7.777777777777778567e+00,1.564593450561139321e+02
7.979797979797979224e+00,1.477759353384649330e+02
8.181818181818179880e+00,1.635282757851803410e+02
8.383838383838384090e+00,1.723425318103024892e+02
8.585858585858584746e+00,1.741338472356756313e+02
8.787878787878788955e+00,1.748966059740485548e+02
8.989898989898989612e+00,1.830079324904483258e+02
9.191919191919190268e+00,2.182066590604683824e+02
9.393939393939394478e+00,2.223144784202837059e+02
9.595959595959595134e+00,2.092792635749596286e+02
9.797979797979799343e+00,2.261916887435731951e+02
1.000000000000000000e+01,2.497790589585971759e+02
